"Program"	"College"	"uni"	"program"	"stipend"	"value"	"year"	"year_in"	"comment"	"mo_12"	"mo_9"	"mo_3"	"fees"	"Uni"	"City"	"metro_area"	"rank"	"living"	"poverty"	"dist"	"dist2"	"year_start"
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	23900	"1.03"	"2020-2021"	"2nd"	"Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. <span class=\\truncated\\> Tuition is waived.</span>"	"$26,400"	"NA"	"NA"	"$2,500"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2020"
"Aerospace Engineering"	"Engineering and Computing"	"Georgia Institute of Technology"	"Aerospace Engineering"	25000	"1.07"	"2022-2023"	"5th"	"NA"	"$28,000"	"NA"	"NA"	"$3,000"	"Georgia Institute of Technology"	"Atlanta, GA"	"Atlanta-Sandy Springs-Roswell, GA"	"29"	38209.6	12875.2	0	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"University of Colorado - Boulder"	"Aerospace Engineering"	43144	"1.69"	"2022-2023"	"2nd"	"NA"	"NA"	"$26,100"	"$17,400"	"$356"	"University of Colorado--Boulder"	"Boulder, CO"	"Boulder, CO"	"104"	42286.4	12875.2	0.0315860215053764	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"University of Illinois - Urbana- Champaign"	"Aerospace Engineering"	29538	"1.34"	"2022-2023"	"1st"	"NA"	"$30,096"	"NA"	"NA"	"$558"	"University of Illinois--Urbana-Champaign"	"Champaign, IL"	"Champaign-Urbana, IL"	"48"	35422.4	12875.2	0.0620573870573872	0	"2022"
"Aerospace Engineering"	"Engineering and Computing"	"Virginia Tech"	"Aerospace Engineering"	24000	"1.14"	"2020-2021"	"1st"	"NA"	"$24,000"	"NA"	"NA"	"NA"	"Virginia Tech"	"Blacksburg, VA"	"Blacksburg-Christiansburg-Radford, VA"	"74"	35068.8	12875.2	0	0	"2020"
"Aerospace Engineering"	"Engineering and Computing"	"Washington University in St. Louis"	"Aerospace Engineering"	35000	"1.69"	"2020-2021"	"1st"	"NA"	"$35,000"	"NA"	"NA"	"NA"	"Washington University in St. Louis"	"St. Louis, MO"	"St. Louis, MO"	"19"	33945.6	12875.2	0	0	"2020"
"Anthropology"	"Arts and Sciences"	"Boston University"	"Anthropology"	29521	"1.03"	"2021-2022"	"1st"	"Funding for 8 months of academic year and an additional 2 months in the Summer. Dean&#39;s fellowship <span class=\\truncated\\> for first year.</span>"	"$29,521"	"NA"	"NA"	"NA"	"Boston University"	"Boston, MA"	"Boston-Cambridge-Newton, MA"	"40"	46924.8	12875.2	0	0	"2021"
"Anthropology"	"Arts and Sciences"	"Brown University"	"Anthropology"	42400	"1.86"	"2022-2023"	"1st"	"Bumped up from 39k-ish in first official offer letter. Includes Health, Dental, and health fees."	"$42,400"	"NA"	"NA"	"NA"	"Brown University"	"Providence, RI"	"Providence-Warwick, RI"	"14"	36004.8	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"Colorado State University"	"Anthropology"	21500	"0.96"	"2022-2023"	"1st"	"NA"	"NA"	"$23,500"	"NA"	"$2,000"	"Colorado State University"	"Fort Collins, CO"	"Fort Collins, CO"	"166"	38251.2	12875.2	0	0	"2022"
"Anthropology"	"Arts and Sciences"	"Columbia University"	"Anthropology"	35140	"1.18"	"2020-2021"	"NA"	"NA"	"NA"	"$31,140"	"$4,000"	"NA"	"Columbia University"	"New York, NY"	"New York-Newark-Jersey City, NY"	"3"	47236.8	12875.2	0	0	"2020"
